"","x"
"X1992",0.0651104107260222
"X1993",0.0635946590327492
"X1994",0.068082306465549
"X1995",0.0683474603147294
"X1996",0.067650065684812
"X1997",0.0606299364242657
"X1998",0.0595442102796499
"X1999",0.0594559034699913
"X2000",0.0607925778103536
"X2001",0.0620323205401053
"X2002",0.0635710015821289
"X2003",0.0639703242922437
"X2004",0.0659078745375891
"X2005",0.0616004921609368
"X2006",0.0647215347503567
"X2007",0.059950777509436
"X2008",0.0618818181055487
"X2009",0.0765350392401337
"X2010",0.071807242225683
"X2011",0.0843208964916091
"X2012",0.0783233562871644
"X2013",0.0988867014731697
"X2014",0.0997895915190416
"X2015",0.0956899321196062
"X2016",0.0990571140784389
"X2017",0.103428593074588
