"","x"
"X1993",0.0102911511573744
"X1994",0.00889374985011615
"X1995",0.0082272177716184
"X1996",0.0042792909918989
"X1997",0.00449950968543901
"X1998",0.00415129269380301
"X1999",0.00682184537615481
"X2000",0.0071498819060517
"X2001",0.00670991976057488
"X2002",0.00639571354484613
"X2003",0.00624392956928113
"X2004",0.00630521511165571
"X2005",0.00547357666244602
"X2006",0.00581029445086748
"X2007",0.00580560385258242
"X2008",0.00400019536551128
"X2009",0.00419344511953872
"X2010",0.00459947672546842
"X2011",0.00457726017361179
"X2012",0.00500105383333282
"X2013",0.00703637543013782
"X2014",0.00695272216110916
"X2015",0.00669998806544343
"X2016",0.00674568613663337
"X2017",0.00668596161476072
