"","x"
"X1992",0.00271912127507187
"X1993",0.00275670913137261
"X1994",0.00244314598108691
"X1995",0.00239156454829835
"X1996",0.00247603894071574
"X1997",0.00236996510754699
"X1998",0.00226463230255113
"X1999",0.00166770315285201
"X2000",0.00161677716749941
"X2001",0.00201511206672148
"X2002",0.00217368669207967
"X2003",0.00226143638980356
"X2004",0.00165983033768921
"X2005",0.00165983033768921
"X2006",0.00159915268003469
"X2007",0.00159710279389902
"X2008",0.00163336136577586
"X2009",0.001666713608218
"X2010",0.00165657402982161
"X2011",0.00175050513986956
"X2012",0.00165519775324831
"X2013",0.00166561430875543
"X2014",0.00169409013895088
"X2015",0.00168941707604998
"X2016",0.00166297342293564
"X2017",0.00179533874004851
