"","x"
"X1992",0.00322623427978973
"X1993",0.00333534868255145
"X1994",0.00322319096464973
"X1995",0.00352597127222872
"X1996",0.00358599128770037
"X1997",0.00337548658940337
"X1998",0.00341280294188934
"X1999",0.00377088061290831
"X2000",0.00513256938568789
"X2001",0.00424644146876991
"X2002",0.00403825879030696
"X2003",0.0048547220758874
"X2004",0.00492442804130505
"X2005",0.00426202821996236
"X2006",0.00414306663276762
"X2007",0.00456409041019194
"X2008",0.00441956722126281
"X2009",0.00499565805944588
"X2010",0.0049623922465016
"X2011",0.00536816644811521
"X2012",0.00508392092285398
"X2013",0.00585148309949429
"X2014",0.00572113881597768
"X2015",0.00592519453911165
"X2016",0.00587873213932763
"X2017",0.00568084601893439
