"","x"
"X1992",0.0997842731345764
"X1993",0.0839470092203831
"X1994",0.0908885301588428
"X1995",0.067256187053848
"X1996",0.0676774439223105
"X1997",0.0471581197339624
"X1998",0.0657547600023407
"X1999",0.0676861345197276
"X2000",0.121982221315232
"X2001",0.125142172799776
"X2002",0.128698333567382
"X2003",0.128359789817398
"X2004",0.121926420395082
"X2005",0.101049913596681
"X2006",0.113777181695097
"X2007",0.106840396557744
"X2008",0.128081807185239
"X2009",0.0953655418658119
"X2010",0.0981507792979345
"X2011",0.119178553983606
"X2012",0.127895069471589
"X2013",0.129484962581978
"X2014",0.120218927334447
"X2015",0.127023637645397
"X2016",0.124961631076912
"X2017",0.1296045213444
