"","x"
"X1992",0.0634846310084855
"X1993",0.0639884500002299
"X1994",0.0640132482681615
"X1995",0.0668994367455669
"X1996",0.0664604788443664
"X1997",0.061668446646622
"X1998",0.0614460842989617
"X1999",0.0659285360681837
"X2000",0.0655192786300836
"X2001",0.0688047722567827
"X2002",0.0678802537656023
"X2003",0.0684529830685059
"X2004",0.0680610402163378
"X2005",0.067014673824398
"X2006",0.0617686662153689
"X2007",0.060952019101183
"X2008",0.0591483801905025
"X2009",0.0574671015329205
"X2010",0.0610975791068056
"X2011",0.0616288757163486
"X2012",0.0654364248611874
"X2013",0.0652093005882881
"X2014",0.0657409218733822
"X2015",0.0657877519352733
"X2016",0.0653629882654962
"X2017",0.0619113966717121
