"","x"
"X1992",0.060774769676809
"X1993",0.0599557991788461
"X1994",0.0611364254968217
"X1995",0.0618678892169134
"X1996",0.0609416852476365
"X1997",0.0622658913123615
"X1998",0.0606956046636568
"X1999",0.0589087776093601
"X2000",0.0591357405795659
"X2001",0.0640754598364138
"X2002",0.0626210138043954
"X2003",0.0649399481841501
"X2004",0.0646117881230196
"X2005",0.0705351415639361
"X2006",0.0599321069461381
"X2007",0.0665912024436467
"X2008",0.0654058182036309
"X2009",0.0656752261557152
"X2010",0.0718914262338949
"X2011",0.0758014778559939
"X2012",0.059536411636453
"X2013",0.059554988205792
"X2014",0.0609212708466226
"X2015",0.0611141838227107
"X2016",0.0608351890036109
"X2017",0.0612606581110376
