"","x"
"X1992",0.048542827598941
"X1993",0.057578332978748
"X1994",0.0581953468869235
"X1995",0.0585245827647145
"X1996",0.0583788409784973
"X1997",0.0584055306947783
"X1998",0.0588870575770643
"X1999",0.0590504170630501
"X2000",0.0596251319457267
"X2001",0.037985736064618
"X2002",0.060114562068571
"X2003",0.0604478332526644
"X2004",0.0602973613442271
"X2005",0.0610724772808763
"X2006",0.0579382198048049
"X2007",0.0368189825147695
"X2008",0.0572306720908718
"X2009",0.0356605249441573
"X2010",0.0410940123455288
"X2011",0.0423977234204432
"X2012",0.053836205447973
"X2013",0.050579740326197
"X2014",0.0507520303391458
"X2015",0.045775716323294
"X2016",0.0578794972861307
"X2017",0.0596647934030213
