"","x"
"X1992",0.0600061780610067
"X1993",0.0600274747028093
"X1994",0.0454417912599708
"X1995",0.0588704770978032
"X1996",0.057537649663483
"X1997",0.0594080464536408
"X1998",0.059911589436105
"X1999",0.0584306661664304
"X2000",0.0587643393747866
"X2001",0.0591259726397302
"X2002",0.0586887433635686
"X2003",0.0586356747135502
"X2004",0.0599608761349454
"X2005",0.0604621384003794
"X2006",0.0591365397313018
"X2007",0.0587250445651237
"X2008",0.0557384704360062
"X2009",0.0558829913278881
"X2010",0.0545826965983667
"X2011",0.0583385508158205
"X2012",0.0599727871705748
"X2013",0.0583714337999185
"X2014",0.0583349487395685
"X2015",0.0586003519361393
"X2016",0.0582487080620913
"X2017",0.0580761886074215
