"","x"
"X1992",0.00218068349762646
"X1993",0.00244242197897864
"X1994",0.00206765935423349
"X1995",0.00221132641702069
"X1996",0.00227431543604279
"X1997",0.00321604450542399
"X1998",0.0021081430165084
"X1999",0.0033440136093215
"X2000",0.00322823146141411
"X2001",0.0019241850006135
"X2002",0.00171627318875493
"X2003",0.00162659363302769
"X2004",0.00201043490778217
"X2005",0.00219873397450475
"X2006",0.00258786741313839
"X2007",0.00192248279105794
"X2008",0.00174934250292974
"X2009",0.00177466495501973
"X2010",0.00198728526589912
"X2011",0.00164256339898155
"X2012",0.00174151044852648
"X2013",0.00175271539167225
"X2014",0.00177962703679944
"X2015",0.00174833326413429
"X2016",0.00214602467285251
"X2017",0.00168072686651375
