"","x"
"X1992",0.0054836058527221
"X1993",0.00567434150999305
"X1994",0.00531708279419899
"X1995",0.00627533220449138
"X1996",0.00404504985922696
"X1997",0.0041273519928885
"X1998",0.0078387008606931
"X1999",0.00417970983865279
"X2000",0.00644988805699995
"X2001",0.00550768913291159
"X2002",0.00588447232522013
"X2003",0.00567473820918002
"X2004",0.00751428132056962
"X2005",0.00741492450010111
"X2006",0.00737171723831165
"X2007",0.00727863801389174
"X2008",0.00762234472167121
"X2009",0.00667808617283967
"X2010",0.00774094755850183
"X2011",0.00773793780715815
"X2012",0.00765097191500056
"X2013",0.00700966147713121
"X2014",0.00690241244692874
"X2015",0.00690628692542209
"X2016",0.00683466712737564
"X2017",0.00674043967686316
