"","x"
"X1992",0.123543056156953
"X1993",0.123271631961791
"X1994",0.115407385207807
"X1995",0.107727093223406
"X1996",0.0877647484655553
"X1997",0.0861442404170892
"X1998",0.0966549864133083
"X1999",0.105411596242221
"X2000",0.0961759694087082
"X2001",0.0891555281927987
"X2002",0.0894075825524838
"X2003",0.0876627926047115
"X2004",0.13566135944275
"X2005",0.145494515398167
"X2006",0.135024528788692
"X2007",0.119530797024953
"X2008",0.112978983191134
"X2009",0.123673117015693
"X2010",0.128442418697882
"X2011",0.124850163727109
"X2012",0.125728783251332
"X2013",0.135826586907003
"X2014",0.133515445046032
"X2015",0.132797623099816
"X2016",0.134380892207291
"X2017",0.134513836483793
