"","x"
"X1992",0.0720307537346407
"X1993",0.073579332464356
"X1994",0.0712119157062458
"X1995",0.0719531027349909
"X1996",0.0703132152952756
"X1997",0.0650108916419616
"X1998",0.0643886727402312
"X1999",0.0753240904485489
"X2000",0.0962865662856442
"X2001",0.100123183739672
"X2002",0.0929134229098203
"X2003",0.0905395958473201
"X2004",0.122331989008134
"X2005",0.123171628548255
"X2006",0.0954866839009392
"X2007",0.123298097687242
"X2008",0.126268126275303
"X2009",0.12959275092055
"X2010",0.123896356525399
"X2011",0.108782450901971
"X2012",0.107137580252442
"X2013",0.130177570193185
"X2014",0.122089722397859
"X2015",0.132478669684231
"X2016",0.132449111205069
"X2017",0.116369394417686
