"","x"
"X1992",0.0590031316755148
"X1993",0.0606430200763693
"X1994",0.0621706190962925
"X1995",0.0613452425106513
"X1996",0.0622444839601433
"X1997",0.0640004638696328
"X1998",0.0623711202970368
"X1999",0.0636899285685929
"X2000",0.0642899246857014
"X2001",0.0660891594107681
"X2002",0.0708956730755899
"X2003",0.0676550224536302
"X2004",0.0637719154365695
"X2005",0.0783067825718884
"X2006",0.0697085966655205
"X2007",0.0674366928182519
"X2008",0.0746229899953133
"X2009",0.0639726884436794
"X2010",0.0643675258232446
"X2011",0.0580140683042501
"X2012",0.0939499048227594
"X2013",0.0945838917448448
"X2014",0.0933381071460267
"X2015",0.0895993752278632
"X2016",0.0945594325454595
"X2017",0.0626600806203543
