"","x"
"X1992",0.00580924458020809
"X1993",0.0059650095437843
"X1994",0.00562343571411185
"X1995",0.00685730450401741
"X1996",0.00546746961708754
"X1997",0.00390788313815341
"X1998",0.00372137068173259
"X1999",0.00393270687028993
"X2000",0.0065118548121786
"X2001",0.00616006043939492
"X2002",0.00607095176798816
"X2003",0.00609516386754572
"X2004",0.0063211057551773
"X2005",0.00539786107800116
"X2006",0.00547722978693114
"X2007",0.00584764961345151
"X2008",0.00682710277792055
"X2009",0.00658299185516208
"X2010",0.00637261324405358
"X2011",0.0064383113803037
"X2012",0.00742809062996341
"X2013",0.00696197059449068
"X2014",0.00709234392675954
"X2015",0.00717269303741398
"X2016",0.00717982139930853
"X2017",0.00670040490420715
