"","x"
"X1992",0.00405539032208498
"X1993",0.00360946649629938
"X1994",0.00324853971668493
"X1995",0.00337026809000916
"X1996",0.00606806223215561
"X1997",0.00404074798141362
"X1998",0.00682142416565017
"X1999",0.00334679892315886
"X2000",0.00646733908835502
"X2001",0.00650352833694495
"X2002",0.0065147118675207
"X2003",0.00647280636538539
"X2004",0.00559337617810276
"X2005",0.00542825843837045
"X2006",0.00453166769128046
"X2007",0.00642268937334026
"X2008",0.00521051707255649
"X2009",0.00436456253455603
"X2010",0.00361090593230079
"X2011",0.00344976621713649
"X2012",0.00361917561230711
"X2013",0.00391013308931664
"X2014",0.00365482985592389
"X2015",0.00449434600238658
"X2016",0.00446885349599991
"X2017",0.00399304132247718
