"","x"
"X1992",NA
"X1993",NA
"X1994",NA
"X1995",NA
"X1996",0.000385394901481936
"X1997",0.000475832576741413
"X1998",NA
"X1999",NA
"X2000",0
"X2001",NA
"X2002",0.000821997461478347
"X2003",0.000503281900999933
"X2004",0.00179132977040371
"X2005",0.00178926316455472
"X2006",0.00168631941216942
"X2007",0.0016844496984085
"X2008",0.00177074825373436
"X2009",0.0017908155751977
"X2010",NA
"X2011",0.00115426835466746
"X2012",0.00123749309956942
"X2013",0.000901251837575783
"X2014",0.000725590743192152
"X2015",0.00374136425270098
"X2016",0.00335144008655548
"X2017",0.00377574189762109
