"","x"
"X1992",0.0638331267173239
"X1993",0.0721223616201958
"X1994",0.0620747791515969
"X1995",0.061690653201044
"X1996",0.047436862343872
"X1997",0.0583132381040462
"X1998",0.078859555745637
"X1999",0.0179888254138285
"X2000",0.0177550864192573
"X2001",NA
"X2002",0.0264675352310205
"X2003",0.0830253783469773
"X2004",0.0642749276200597
"X2005",0.0750230311260816
"X2006",0.0446043645030706
"X2007",0.034703904885274
"X2008",0.0354998716765727
"X2009",0.0356914679830618
"X2010",0.034107626446695
"X2011",0.0334017384923695
"X2012",0.0481892342420997
"X2013",0.0818188953887208
"X2014",0.0778168543036654
"X2015",0.0791702902843824
"X2016",0.0805908817706756
"X2017",0.0830426910268008
