"","x"
"X1992",0.00120828917481154
"X1993",0.00119383959202758
"X1994",0.00122507457081522
"X1995",0.00108706640197418
"X1996",0.0014146264444127
"X1997",0.00116362914674828
"X1998",0.00186729031482854
"X1999",0.00205432235715333
"X2000",0.00201948868888697
"X2001",0.00150009687960935
"X2002",0.00238075679604802
"X2003",0.00196729742000611
"X2004",0.00208060944970613
"X2005",0.00224516852991875
"X2006",0.00218707518085736
"X2007",0.00218171626122755
"X2008",0.00216318929201212
"X2009",0.00280987043322501
"X2010",0.00198963135429726
"X2011",0.00278276664155573
"X2012",0.00291194373205828
"X2013",0.00292213577751235
"X2014",0.00293580963328822
"X2015",0.00313668233410378
"X2016",0.00307877505899149
"X2017",0.00305959453891404
