"","x"
"X1992",0.00569558134843557
"X1993",0.0060563901624447
"X1994",0.0060334144502281
"X1995",0.00373402146023381
"X1996",0.00339033646484791
"X1997",0.00340650891482275
"X1998",0.00333286227957394
"X1999",0.00387909536799679
"X2000",0.00511281810357823
"X2001",0.00539737272214486
"X2002",0.00514363672996002
"X2003",0.00520635173088284
"X2004",0.00636083537276579
"X2005",0.00655262048240403
"X2006",0.00654942423486109
"X2007",0.00654945483374531
"X2008",0.00554164328117268
"X2009",0.00584418851310089
"X2010",0.00537165066335034
"X2011",0.00515987811348994
"X2012",0.00503630998070793
"X2013",0.00660238189079641
"X2014",0.00521039282480014
"X2015",0.00541145223175678
"X2016",0.00519111772415003
"X2017",0.0052218239558014
