"","x"
"X1992",0.0590206001792327
"X1993",0.0608887409217565
"X1994",0.0603834861607968
"X1995",0.0606912299779011
"X1996",0.0600063928546771
"X1997",0.0633888057266262
"X1998",0.0629262547787714
"X1999",0.0748633140044974
"X2000",0.0907609535162092
"X2001",0.0851853859225784
"X2002",0.0766936632933213
"X2003",0.0767853487461913
"X2004",0.0793117779000704
"X2005",0.0632814934570733
"X2006",0.0634893130223598
"X2007",0.0729114563270225
"X2008",0.0716838859568333
"X2009",0.0604370710505806
"X2010",0.0693893552934099
"X2011",0.0709760416898004
"X2012",0.0774807867812823
"X2013",0.0777726982804607
"X2014",0.0691349600008456
"X2015",0.068207657650839
"X2016",0.0680298368075037
"X2017",0.0688220055249114
