"","x"
"X1992",0.00195172024329831
"X1993",0.00124380117876676
"X1994",0.00223906020050669
"X1995",0.00160775392314442
"X1996",0.00153296358922827
"X1997",0.00144140851112457
"X1998",0.00115291676419986
"X1999",0.00290107207087778
"X2000",0.00102822748899044
"X2001",0.00455233900124044
"X2002",0.00389665720989006
"X2003",0.00675811851546809
"X2004",0.0018080797846262
"X2005",0.00176777867320709
"X2006",0.00112857947883046
"X2007",0.00110487734675679
"X2008",0.00142562705300098
"X2009",0.0011415851759858
"X2010",0.00181002835383657
"X2011",0.00458265544487806
"X2012",0.00502268295335649
"X2013",0.00161315922912624
"X2014",0.00148965391207552
"X2015",0.00148415687768121
"X2016",0.00298154399315409
"X2017",0.00196946527629281
