"","x"
"X1992",0.00378003273991836
"X1993",0.00332813052130149
"X1994",0.00321907519143804
"X1995",0.00327951788676709
"X1996",0.00326883126388312
"X1997",0.00321316484573364
"X1998",0.0032716704846335
"X1999",0.00364209932059135
"X2000",0.00323700686266623
"X2001",0.0034272961382605
"X2002",0.0037585382382434
"X2003",0.00440832853913963
"X2004",0.00403440519652901
"X2005",0.00618751080362357
"X2006",0.00616827366046151
"X2007",0.00474700111619774
"X2008",0.00460399568716927
"X2009",0.00456056171472468
"X2010",0.00359027721737285
"X2011",0.00394444252912645
"X2012",0.00447519923378887
"X2013",0.00477171151122655
"X2014",0.00480172855855232
"X2015",0.00479764687540459
"X2016",0.00476534001977837
"X2017",0.00465020366150724
