"","x"
"X1992",0.00318261893985738
"X1993",0.00335549248415923
"X1994",0.00320244601625836
"X1995",0.00356554893402852
"X1996",0.0035255142869827
"X1997",0.00321965551498005
"X1998",0.00331207157331822
"X1999",0.00313476190859824
"X2000",0.00290910441682754
"X2001",0.00266983406739954
"X2002",0.0031115555458424
"X2003",0.0030688750425003
"X2004",0.003032332911537
"X2005",0.00329335327895018
"X2006",0.00326003226569164
"X2007",0.00323801617683202
"X2008",0.00328436167920003
"X2009",0.00331501506284873
"X2010",0.00322435672341672
"X2011",0.00183504049373084
"X2012",0.00175552918813625
"X2013",0.00171339385590572
"X2014",0.00195645338213185
"X2015",0.0019392553209047
"X2016",0.00234926048492132
"X2017",0.00235370486366754
