"","x"
"X1992",0.0617319068649681
"X1993",0.0578766835677405
"X1994",0.0598239529438629
"X1995",0.0556358442267585
"X1996",0.0572070411605055
"X1997",0.0620318808542674
"X1998",0.0624493944531901
"X1999",0.0610898836888433
"X2000",0.0609904985239996
"X2001",0.0590066275726137
"X2002",0.0570316094182427
"X2003",0.0555511216822085
"X2004",0.0586638351090986
"X2005",0.0573230867607881
"X2006",0.0578473341504427
"X2007",0.0578454263725905
"X2008",0.0558405400614457
"X2009",0.0552603590558003
"X2010",0.0554575015269967
"X2011",0.0569751396196066
"X2012",0.049624464742477
"X2013",0.0520970011714197
"X2014",0.0493741692720826
"X2015",0.0517395233107003
"X2016",0.0550277459905027
"X2017",0.054332458501962
