"","x"
"X1992",0.00628646171268688
"X1993",0.0070067737063845
"X1994",0.00667759743054417
"X1995",0.0050279598273357
"X1996",0.00391991444098338
"X1997",0.00355840121521186
"X1998",0.00357571594527241
"X1999",0.00364423597144786
"X2000",0.00628279479689296
"X2001",0.00634206290446827
"X2002",0.00636926271374461
"X2003",0.00669525010495587
"X2004",0.00635687306163726
"X2005",0.00488014095288614
"X2006",0.00633006940671512
"X2007",0.00640876413578308
"X2008",0.00636483684265404
"X2009",0.00555599506355125
"X2010",0.00645546412271015
"X2011",0.00668220552727934
"X2012",0.00659996565463347
"X2013",0.00671327340644015
"X2014",0.00656519395682034
"X2015",0.00668259682256683
"X2016",0.00668451818710671
"X2017",0.00635813745787259
