"","x"
"X1992",0.00502229594338842
"X1993",0.00493779761567314
"X1994",0.00497058004618996
"X1995",0.00515481745570669
"X1996",0.00362616495493321
"X1997",0.00364786668470658
"X1998",0.00370895490842877
"X1999",0.00513487080452854
"X2000",0.00531714365077563
"X2001",0.00605065340538472
"X2002",0.00605926865956074
"X2003",0.00607500575615891
"X2004",0.00595443916684381
"X2005",0.0067665766051649
"X2006",0.00659851974018253
"X2007",0.00660206373119087
"X2008",0.00645327644111977
"X2009",0.00669305008149939
"X2010",0.00684541988689796
"X2011",0.00690893938967023
"X2012",0.0072503436172767
"X2013",0.00697444472375795
"X2014",0.00669004068965842
"X2015",0.00663527596146588
"X2016",0.00663592382140253
"X2017",0.00695418319999569
