"","x"
"X1992",0.00313560604240694
"X1993",0.00319392921970175
"X1994",0.00313813051826744
"X1995",0.00324360397777111
"X1996",0.00324917178207203
"X1997",0.00319413066881258
"X1998",0.0032536428324559
"X1999",0.00336283331804017
"X2000",0.00320958058419618
"X2001",0.00303535875474677
"X2002",0.00329230793647279
"X2003",0.00327399889852959
"X2004",0.00313340717748536
"X2005",0.00312225432200342
"X2006",0.00320002098546217
"X2007",0.003296974891
"X2008",0.00332798351719
"X2009",0.00324663497268381
"X2010",0.00324941357297298
"X2011",0.00329047004814923
"X2012",0.00325827501856282
"X2013",0.0032578817434688
"X2014",0.00323232809731395
"X2015",0.00346605929823437
"X2016",0.00329530387823236
"X2017",0.00336616676724843
