"","x"
"X1992",0.00612554651314131
"X1993",0.00626134357699337
"X1994",0.00609612643162043
"X1995",0.00545182767065378
"X1996",0.00318606695215011
"X1997",0.00320508786355616
"X1998",0.00352753216321286
"X1999",0.00698558298922189
"X2000",0.00622219594197877
"X2001",0.00614311724956162
"X2002",0.00613699091610025
"X2003",0.00661478313646468
"X2004",0.00654243822029336
"X2005",0.00668519990970372
"X2006",0.00667225207122538
"X2007",0.00676600457819287
"X2008",0.00729194840458754
"X2009",0.00778781727120243
"X2010",0.00781114132037605
"X2011",0.00780989085912046
"X2012",0.00786224987676014
"X2013",0.00762216343767092
"X2014",0.0067406968414374
"X2015",0.00675919676041736
"X2016",0.00756394626640288
"X2017",0.00762411411992103
