"","x"
"X1992",0.00764713053939817
"X1993",0.007216047678662
"X1994",0.00634136042417744
"X1995",0.00532125668656133
"X1996",0.00396238301817057
"X1997",0.00353713893251929
"X1998",0.00687358648068195
"X1999",0.00651775321400577
"X2000",0.00627629347831037
"X2001",0.00608054568373123
"X2002",0.00645770184055575
"X2003",0.00717831782516941
"X2004",0.00732436131496723
"X2005",0.00766533654691188
"X2006",0.00773745327300035
"X2007",0.00771108733329838
"X2008",0.00729403554368381
"X2009",0.00772278993622593
"X2010",0.00741511112038385
"X2011",0.00719236574621391
"X2012",0.00741669284778899
"X2013",0.00728417596183159
"X2014",0.00723272014652383
"X2015",0.00731720351082877
"X2016",0.00733064397279935
"X2017",0.00734767137313699
