"","x"
"X1992",0.0019862290438168
"X1993",0.00371162893295808
"X1994",0.00339782057725397
"X1995",0.00223552810769565
"X1996",0.00302941528254805
"X1997",0.00327966891767607
"X1998",0.0022434591147265
"X1999",0.00220061566718694
"X2000",0.00231797556709891
"X2001",0.00198402410397536
"X2002",0.00213734458628383
"X2003",0.00201525659545681
"X2004",0.00190480365559913
"X2005",0.00178271393152615
"X2006",0.00213569370012248
"X2007",0.00178973854201437
"X2008",0.00218389504542783
"X2009",0.00219935823608145
"X2010",0.00269267007387874
"X2011",0.00236930229502051
"X2012",0.00270523670650648
"X2013",0.00263570943195992
"X2014",0.00256839685943173
"X2015",0.00242768390295554
"X2016",0.00298342042712121
"X2017",0.00267526889822372
