"","x"
"X1992",0.124300740931893
"X1993",0.121686665669233
"X1994",0.124511273664883
"X1995",0.11876560697913
"X1996",0.0737715654574199
"X1997",0.0670498236955804
"X1998",0.0633614348425137
"X1999",0.0692885631890922
"X2000",0.123625267810519
"X2001",0.123194720827176
"X2002",0.125477405384343
"X2003",0.127232724494661
"X2004",0.123547844827689
"X2005",0.124967934011339
"X2006",0.125635005456427
"X2007",0.12526912651744
"X2008",0.122916650406996
"X2009",0.125573537326909
"X2010",0.126885705078985
"X2011",0.126914883458864
"X2012",0.136875448209818
"X2013",0.134312625197476
"X2014",0.133240887550663
"X2015",0.132479626866032
"X2016",0.132018414933756
"X2017",0.134257018577927
