"","x"
"X1992",0.00341011746400241
"X1993",0.00326695530459204
"X1994",0.00304720485435155
"X1995",0.00312886432652595
"X1996",0.00309366845401098
"X1997",0.00319822286158918
"X1998",0.00325547491231778
"X1999",0.0033226878145095
"X2000",0.00326523812455031
"X2001",0.00348770659125329
"X2002",0.00352115290949737
"X2003",0.00335013875884022
"X2004",0.00327300837374659
"X2005",0.00313534064739779
"X2006",0.00330901540643486
"X2007",0.00331010438674061
"X2008",0.00342900219659296
"X2009",0.0036194219686591
"X2010",0.00365810610841531
"X2011",0.00354124865642807
"X2012",0.00362994737152263
"X2013",0.00361165381163424
"X2014",0.00360695643227495
"X2015",0.00347367940999461
"X2016",0.00350589663756875
"X2017",0.00358388757924861
