"","x"
"X1992",0.00185905332952161
"X1993",0.00219407540976916
"X1994",0.00333375713422076
"X1995",0.00270343794770369
"X1996",0.00147012782335865
"X1997",0.00149638962995642
"X1998",0.00180380207522223
"X1999",0.00157794657544931
"X2000",0.00308715311925435
"X2001",0.00238760830727345
"X2002",0.00242807522283444
"X2003",0.00312277141102211
"X2004",0.00156815072589411
"X2005",0.0015972538363963
"X2006",0.00223682437392023
"X2007",0.00282132104164859
"X2008",0.00277028333404983
"X2009",0.00362835306183983
"X2010",0.00353885984709896
"X2011",0.00644455358362305
"X2012",0.00264711184545706
"X2013",0.00334562814479382
"X2014",0.00341509320766965
"X2015",0.00308975920318925
"X2016",0.00305467329001621
"X2017",0.00310581761121577
