"","x"
"X1992",0.00639133158354388
"X1993",0.0066479789171932
"X1994",0.00438427780466694
"X1995",0.005645728013855
"X1996",0.00426760172662522
"X1997",0.00291957535009034
"X1998",0.00289196560030471
"X1999",0.0035845990808954
"X2000",0.00594393933947323
"X2001",0.00616179680080735
"X2002",0.00658099530825954
"X2003",0.00681944154254484
"X2004",0.00613963354803432
"X2005",0.00563405462409931
"X2006",0.00572802636746708
"X2007",0.00477853230777998
"X2008",0.00563869614232373
"X2009",0.00577566778066818
"X2010",0.00691699493241361
"X2011",0.0063950135394004
"X2012",0.00712710692099036
"X2013",0.00723969299448728
"X2014",0.00707765419234412
"X2015",0.00713778245025448
"X2016",0.00713162847473079
"X2017",0.00714809206567942
