"","x"
"X1992",0.00175685903810662
"X1993",0.0018686209266813
"X1994",0.0012836651070733
"X1995",0.00130268042481149
"X1996",NA
"X1997",NA
"X1998",NA
"X1999",0.000864837545713004
"X2000",NA
"X2001",0.0022200461648099
"X2002",0.00153617545238026
"X2003",0.00206814205211054
"X2004",0.00196757003174989
"X2005",0.00147499179059654
"X2006",0.00125623383832895
"X2007",0.00112332618090869
"X2008",0.00141228466032511
"X2009",0.00137872106313876
"X2010",0.00219557433407708
"X2011",0.00278023176245934
"X2012",0.00147097607958228
"X2013",0.00179799210394489
"X2014",0.00233180614811893
"X2015",0.00244829494864044
"X2016",0.00260175570129296
"X2017",0.00259137154977633
