"","x"
"X1992",0.0622478173409501
"X1993",0.0618955097262781
"X1994",0.0637326249622
"X1995",0.063445236715693
"X1996",0.0659980895253019
"X1997",0.0667732579161319
"X1998",0.0657636247558325
"X1999",0.0678481014249656
"X2000",0.0685826662239441
"X2001",0.0628217778420366
"X2002",0.0651977493995617
"X2003",0.0640555130877613
"X2004",0.0673444041765002
"X2005",0.0628464557405906
"X2006",0.0630406660443905
"X2007",0.0638827506804227
"X2008",0.0634337254500023
"X2009",0.0653360702964157
"X2010",0.0663119733250222
"X2011",0.0656188775330538
"X2012",0.065799357054929
"X2013",0.0661686382299957
"X2014",0.0623963711457361
"X2015",0.0623387026315477
"X2016",0.0614878335707943
"X2017",0.0592560864636139
