"","x"
"X1992",0.00101898583698472
"X1993",0.00108770483007259
"X1994",0.000477623628466347
"X1995",0.00056507683320291
"X1996",0.00116574535853612
"X1997",0.000987518781640602
"X1998",0.00170486299236369
"X1999",0.00064368117463638
"X2000",0.00270815368627495
"X2001",0.00277133281991129
"X2002",0.00192679282759806
"X2003",0.00264893370312726
"X2004",0.00262270555780267
"X2005",0.00117138170908475
"X2006",0.000729400673967391
"X2007",NA
"X2008",NA
"X2009",NA
"X2010",0.000915073566986901
"X2011",0.00084903173525875
"X2012",0.000752405752080803
"X2013",0.000741605615722373
"X2014",0.00112584697015086
"X2015",0.00172705887871876
"X2016",0.00175440047815137
"X2017",0.00137250273492869
