"","x"
"X1992",0.00306209072581042
"X1993",0.00283991154524699
"X1994",0.0028475761469436
"X1995",0.00320295355961747
"X1996",0.00308053478412838
"X1997",0.00303009074768176
"X1998",0.00312348188048647
"X1999",0.00312459306080918
"X2000",0.00321894364050189
"X2001",0.00323838543630666
"X2002",0.0032613244986225
"X2003",0.00294762882902241
"X2004",0.00314399606231356
"X2005",0.00325088406073706
"X2006",0.00320222577848646
"X2007",0.00313418030146279
"X2008",0.00322611422388614
"X2009",0.00322752039157652
"X2010",0.00315864449749166
"X2011",0.00316229898011484
"X2012",0.00316397359560323
"X2013",0.00316714440926439
"X2014",0.0030419008876715
"X2015",0.00306753036228038
"X2016",0.00329476797754455
"X2017",0.00328435063065481
