"","x"
"X1992",0.00345227078826439
"X1993",0.00314542432737134
"X1994",0.00277754551457085
"X1995",0.00292206881391891
"X1996",0.00299328356242031
"X1997",0.00309633510055269
"X1998",0.00287893997577748
"X1999",0.00341531442803405
"X2000",0.00441210905289932
"X2001",0.00451974093284265
"X2002",0.00470504357920207
"X2003",0.00456978997914337
"X2004",0.00472113811867881
"X2005",0.00641246540963521
"X2006",0.00619300943644663
"X2007",0.00629206669695846
"X2008",0.00381571954915319
"X2009",0.00433853121839527
"X2010",0.00388416531529303
"X2011",0.00388431088860645
"X2012",0.0041436536105317
"X2013",0.00504142450353677
"X2014",0.00532471732003236
"X2015",0.00550957506309486
"X2016",0.00550210282886632
"X2017",0.00551373680224302
