"","x"
"X1992",0.00307709236197808
"X1993",0.00306386948394727
"X1994",0.0032025389071367
"X1995",0.00311282640517241
"X1996",0.00309225397787708
"X1997",0.00328197055687346
"X1998",0.00326703312529654
"X1999",0.00320669052970015
"X2000",0.00332550536803262
"X2001",0.00352227706184664
"X2002",0.00337267807709718
"X2003",0.00329496039263747
"X2004",0.00327142142426577
"X2005",0.00329294094458732
"X2006",0.00333511707290355
"X2007",0.00327537228885515
"X2008",0.00329916873718223
"X2009",0.00328417839965276
"X2010",0.0036150695873377
"X2011",0.00322355399696943
"X2012",0.00360059439956167
"X2013",0.00354049765595631
"X2014",0.00351769133294307
"X2015",0.0035067733082861
"X2016",0.00354912585529917
"X2017",0.00349176502445517
