"","x"
"X1992",0.0644299138195241
"X1993",0.0659414482739905
"X1994",0.0614269787577138
"X1995",0.0628785985335873
"X1996",0.0631565403203087
"X1997",0.0592942367575414
"X1998",0.0616631324548952
"X1999",0.0672259882795473
"X2000",0.0952431358950442
"X2001",0.0948920188170011
"X2002",0.101485440317051
"X2003",0.0930310341819346
"X2004",0.118248694868942
"X2005",0.0743714106098307
"X2006",0.0704501859048375
"X2007",0.0731052820365659
"X2008",0.0823999464697285
"X2009",0.0982842399733691
"X2010",0.0960724309543885
"X2011",0.100692723193929
"X2012",0.104478348173948
"X2013",0.103514273081794
"X2014",0.103999451794009
"X2015",0.101025707196852
"X2016",0.0946751824676048
"X2017",0.095363917776781
