"","x"
"X1992",0.0606655396197183
"X1993",0.0627448743477972
"X1994",0.0571407558112969
"X1995",0.071457793882635
"X1996",0.063026756098392
"X1997",0.0617888440645492
"X1998",0.0559985183865492
"X1999",0.0594038307525366
"X2000",0.0681605955279892
"X2001",0.0976479424195286
"X2002",0.0976056098128675
"X2003",0.0948735970323169
"X2004",0.101568433210883
"X2005",0.0614099541074943
"X2006",0.0616061136661777
"X2007",0.0837921970655949
"X2008",0.114063387086837
"X2009",0.0862133549782933
"X2010",0.0849385749491339
"X2011",0.0803297293144444
"X2012",0.116262977973669
"X2013",0.112639586807326
"X2014",0.113732242576705
"X2015",0.114794161935542
"X2016",0.114406199424555
"X2017",0.117151863761922
