"","x"
"X1992",0.00281774453545378
"X1993",0.00298995279470983
"X1994",0.00326389948695142
"X1995",0.00317592428235207
"X1996",0.00333699520156982
"X1997",0.00322820460891925
"X1998",0.00309428535361433
"X1999",0.00323114678582732
"X2000",0.00341192952528292
"X2001",0.003321023646254
"X2002",0.00314861328070797
"X2003",0.00326580847640714
"X2004",0.00329399741228281
"X2005",0.0030252525212724
"X2006",0.0031147784655304
"X2007",0.00306390986139895
"X2008",0.00307025169484505
"X2009",0.00303484964254575
"X2010",0.00307406138332196
"X2011",0.00310082782988536
"X2012",0.00309855778574598
"X2013",0.00307203062626574
"X2014",0.00309422558008266
"X2015",0.00327094531690616
"X2016",0.00322718325094438
"X2017",0.00286111911457194
