"","x"
"X1992",0.00322076679917306
"X1993",0.00302632617030692
"X1994",0.00292768662165007
"X1995",0.00305630050828818
"X1996",0.00346512323683355
"X1997",0.0034017954662228
"X1998",0.00363847168012754
"X1999",0.00345806879249456
"X2000",0.00314137787649129
"X2001",0.00323929406668397
"X2002",0.00327546239785169
"X2003",0.00321053871888927
"X2004",0.00319727644260969
"X2005",0.00294281817049026
"X2006",0.00327966552080744
"X2007",0.00329713664810041
"X2008",0.00340691785247548
"X2009",0.00330149515135288
"X2010",0.00321423060953163
"X2011",0.00315541402099791
"X2012",0.0031851344050579
"X2013",0.00314716651128917
"X2014",0.00330188690039414
"X2015",0.0034477465292998
"X2016",0.00359825944366059
"X2017",0.00333898599804882
