"","x"
"X1992",0.00314634734278059
"X1993",0.00325675266521587
"X1994",0.00298932541283947
"X1995",0.00356588594941328
"X1996",0.00344484727076413
"X1997",0.00340313577813293
"X1998",0.00336198804628199
"X1999",0.00331683339102291
"X2000",0.00333144220060477
"X2001",0.00339875395692995
"X2002",0.00342263729589725
"X2003",0.00327877857533026
"X2004",0.00338191970165442
"X2005",0.00337638163929027
"X2006",0.00328750518549512
"X2007",0.00329620019242329
"X2008",0.00334305330438581
"X2009",0.00337361245594299
"X2010",0.00315200117114226
"X2011",0.00311332904886466
"X2012",0.00314946058342138
"X2013",0.00317566685001005
"X2014",0.00317804627124738
"X2015",0.00328259736586714
"X2016",0.00327382581834074
"X2017",0.00326858161765537
