"","x"
"X1992",0.0032263889857222
"X1993",0.00324799083768084
"X1994",0.00320288917609429
"X1995",0.00328238508692611
"X1996",0.0032854199925876
"X1997",0.00333564504828515
"X1998",0.00322365134394668
"X1999",0.00330664868202119
"X2000",0.00326984088624309
"X2001",0.00319713573049998
"X2002",0.00340186003694299
"X2003",0.00325431858680366
"X2004",0.00330751606891231
"X2005",0.00335786844871382
"X2006",0.00332835526155141
"X2007",0.00334072776368542
"X2008",0.00332510706097964
"X2009",0.00327837790894768
"X2010",0.00319000876764406
"X2011",0.00320191063357328
"X2012",0.00314704033608331
"X2013",0.00322181423896423
"X2014",0.00314236853566212
"X2015",0.00319701967153894
"X2016",0.00321874958922841
"X2017",0.00323419460516383
