"","x"
"X1992",0.00321587502179712
"X1993",0.00318262407007923
"X1994",0.00320155214243579
"X1995",0.00336926443548341
"X1996",0.00331280087981547
"X1997",0.00323984535007896
"X1998",0.00325150914392187
"X1999",0.00318413379689304
"X2000",0.00328247726775923
"X2001",0.00349065558619687
"X2002",0.00357248175447858
"X2003",0.00386531804715887
"X2004",0.00393054490466943
"X2005",0.00378251333958629
"X2006",0.0038418080599592
"X2007",0.00349548038254246
"X2008",0.00403366126750457
"X2009",0.00384542552271522
"X2010",0.0041234380938509
"X2011",0.00467398009077509
"X2012",0.00478934287653289
"X2013",0.00479446473836731
"X2014",0.00530093673999671
"X2015",0.00519441945720936
"X2016",0.00519853955883518
"X2017",0.00528366103022288
