"","x"
"X1992",0.00355154455861505
"X1993",0.0034691822904197
"X1994",0.00343362596044993
"X1995",0.0035870698574179
"X1996",0.00362573808743198
"X1997",0.00310490202107037
"X1998",0.00324794517603233
"X1999",0.00321597225115697
"X2000",0.00480578206956936
"X2001",0.00481662242330764
"X2002",0.0048122968058299
"X2003",0.00475569165713838
"X2004",0.004185744497235
"X2005",0.0048028188663988
"X2006",0.00540571634097171
"X2007",0.00448836772181305
"X2008",0.00508732186328598
"X2009",0.00531719191315855
"X2010",0.00537876868507836
"X2011",0.00571998353605134
"X2012",0.00536903294037244
"X2013",0.00635525132094249
"X2014",0.00672725902014971
"X2015",0.00675050927366542
"X2016",0.00616988569013468
"X2017",0.00647900063834691
