"","x"
"X1992",0.124849612499788
"X1993",0.120457800928248
"X1994",0.114119375533712
"X1995",0.081068111130529
"X1996",0.106153648539472
"X1997",0.0826060647554217
"X1998",0.082118588556238
"X1999",0.0810205568187516
"X2000",0.123426327100078
"X2001",0.110387693967358
"X2002",0.107021409174804
"X2003",0.104777860373749
"X2004",0.102513584994797
"X2005",0.105144221780535
"X2006",0.109615782099752
"X2007",0.110830323564426
"X2008",0.110005475956119
"X2009",0.106951291829615
"X2010",0.111728855245131
"X2011",0.104438442140069
"X2012",0.118325961531875
"X2013",0.121623702508898
"X2014",0.121589779427663
"X2015",0.115876361978387
"X2016",0.113147812545728
"X2017",0.108041102535965
