"","x"
"X1992",0.00352311193820057
"X1993",0.00336724490128646
"X1994",0.00325889335132805
"X1995",0.00329986011964107
"X1996",0.00322265705815594
"X1997",0.00349681214178636
"X1998",0.00328774225109446
"X1999",0.00335432417559765
"X2000",0.00328940002790497
"X2001",0.00340072289190016
"X2002",0.00346442437283673
"X2003",0.00332285677025416
"X2004",0.00344277069468972
"X2005",0.00301817533809047
"X2006",0.00305437086714011
"X2007",0.00312811658725669
"X2008",0.00316698456174105
"X2009",0.00317739688154429
"X2010",0.00323467987259816
"X2011",0.00325607307106477
"X2012",0.00348080710519644
"X2013",0.00346554925155555
"X2014",0.003477638153184
"X2015",0.00338128957014817
"X2016",0.00324193281915953
"X2017",0.00322869677584997
