"","x"
"X1992",0.00625824902050986
"X1993",0.00623893392027015
"X1994",0.00561941561530768
"X1995",0.00292160156223999
"X1996",0.00298063438546013
"X1997",0.00316947917690469
"X1998",0.00326645210087245
"X1999",0.00328895317894194
"X2000",0.0065079283040907
"X2001",0.00642725178893771
"X2002",0.00641158257039012
"X2003",0.00642982581604654
"X2004",0.00626434201663873
"X2005",0.00644833013368706
"X2006",0.00626392325036506
"X2007",0.00642333765864463
"X2008",0.00609392416110879
"X2009",0.00611018641928125
"X2010",0.00565788282742293
"X2011",0.00580177869607409
"X2012",0.00675790160907808
"X2013",0.00669745362147474
"X2014",0.00655559771922744
"X2015",0.00677999988862188
"X2016",0.00657621682411651
"X2017",0.00672935259198211
