"","x"
"X1992",0.0644957053804203
"X1993",0.0659143746483487
"X1994",0.0637472105338025
"X1995",0.063270458649889
"X1996",0.0633837965710028
"X1997",0.0595117159599751
"X1998",0.0568607492645265
"X1999",0.0507823360101777
"X2000",0.0627506492782928
"X2001",0.0652637765313445
"X2002",0.0643338658908347
"X2003",0.0649773808919115
"X2004",0.0649572864661376
"X2005",0.0631084100173484
"X2006",0.0574852608872072
"X2007",0.065591059920025
"X2008",0.0657257807565523
"X2009",0.0642107671423089
"X2010",0.0630034976265976
"X2011",0.0633632382875583
"X2012",0.0605485819298154
"X2013",0.058841235428866
"X2014",0.0564716978914997
"X2015",0.0559289390674316
"X2016",0.0573841147400831
"X2017",0.0582554263953772
