"","x"
"X1992",0.00601475074034442
"X1993",0.00639397390297143
"X1994",0.00485067255538388
"X1995",0.00448849221278969
"X1996",0.00273538412776392
"X1997",0.00327816209742998
"X1998",0.00366183612241086
"X1999",0.003684540643743
"X2000",0.00416300385971653
"X2001",0.00495273550373702
"X2002",0.0064283414809432
"X2003",0.00644960406205305
"X2004",0.00475133713910328
"X2005",0.00662715771833636
"X2006",0.00659584219216207
"X2007",0.00661552272677864
"X2008",0.00705242615688198
"X2009",0.00721364383735336
"X2010",0.00565777994198678
"X2011",0.00599831825002375
"X2012",0.00720142038652648
"X2013",0.00690640826769903
"X2014",0.00668109076775568
"X2015",0.00665902441388555
"X2016",0.00704546004635567
"X2017",0.00718229441168249
