"","x"
"X1992",0.0054471849548858
"X1993",0.00395712538491211
"X1994",0.00529550447347936
"X1995",0.00307935371310459
"X1996",0.00310203898547861
"X1997",0.00312206218515268
"X1998",0.00317192613839516
"X1999",0.00321211847337355
"X2000",0.00313451404993413
"X2001",0.00320996712915124
"X2002",0.00340767057743624
"X2003",0.00343682669390817
"X2004",0.00361304140533015
"X2005",0.00357121312405008
"X2006",0.00353786432376249
"X2007",0.00364919509491105
"X2008",0.00355291680945804
"X2009",0.00356695277644478
"X2010",0.00450531280978039
"X2011",0.00434874283019224
"X2012",0.00425015727561166
"X2013",0.00414565406202331
"X2014",0.00419113698335967
"X2015",0.00389462442595523
"X2016",0.00403634380565775
"X2017",0.00419413343410534
