"","x"
"X1992",0.00290741605814932
"X1993",0.00309006320813511
"X1994",0.00302998894146431
"X1995",0.00321993470850508
"X1996",0.00319609759309143
"X1997",0.00317004411859631
"X1998",0.00332731671112614
"X1999",0.0036279750190156
"X2000",0.00318514140033218
"X2001",0.00315129683302266
"X2002",0.00304394129258414
"X2003",0.00279593224331339
"X2004",0.00304848474946411
"X2005",0.00327602665531352
"X2006",0.00323676035537779
"X2007",0.00326356835172753
"X2008",0.00323504638330364
"X2009",0.0031733381192468
"X2010",0.00314522788104692
"X2011",0.00320198845512339
"X2012",0.00326236885811316
"X2013",0.00327761541794137
"X2014",0.00329913294607902
"X2015",0.00330062621760472
"X2016",0.0032311673967128
"X2017",0.00333064776720329
