"","x"
"X1992",0.0642283940930225
"X1993",0.0613273180173132
"X1994",0.057086374556037
"X1995",0.0576945177890821
"X1996",0.0591930937710292
"X1997",0.058387905302059
"X1998",0.0608984797014975
"X1999",0.0654987017824663
"X2000",0.0656354011899987
"X2001",0.0612229089255231
"X2002",0.0604985701733752
"X2003",0.0918525180646253
"X2004",0.0951245304296817
"X2005",0.085017729085739
"X2006",0.120278372025565
"X2007",0.126490408609435
"X2008",0.0999176639196246
"X2009",0.0950389741321446
"X2010",0.0937352353202853
"X2011",0.0965579683197373
"X2012",0.107444951138913
"X2013",0.112372447694097
"X2014",0.0967042077004252
"X2015",0.105479054484148
"X2016",0.0898459471099814
"X2017",0.0854452046676635
