"","x"
"X1992",0.0603883393861789
"X1993",0.0615793057461955
"X1994",0.0561351273462856
"X1995",0.0606423158775288
"X1996",0.0579492779793863
"X1997",0.0629554581666745
"X1998",0.0638906086756317
"X1999",0.0571824003677816
"X2000",0.0571472724958146
"X2001",0.0637061100537737
"X2002",0.0600011537913415
"X2003",0.061723383124332
"X2004",0.0627959507678566
"X2005",0.0621004013465963
"X2006",0.0617126076293623
"X2007",0.0619417315763728
"X2008",0.0616021671415537
"X2009",0.0608184992846871
"X2010",0.0595608076589264
"X2011",0.0618723192490861
"X2012",0.0617137596807523
"X2013",0.0638911648676202
"X2014",0.0583357282903034
"X2015",0.0660326245556896
"X2016",0.0559774662004847
"X2017",0.0556320531959196
