"","x"
"X1992",0.00341803259571289
"X1993",0.00347816528435242
"X1994",0.00343155824455025
"X1995",0.00330436435020906
"X1996",0.00335773203902907
"X1997",0.00334847476207756
"X1998",0.00336536391858945
"X1999",0.00327377913203784
"X2000",0.00382652993358592
"X2001",0.00376801699506849
"X2002",0.00367470124528448
"X2003",0.00358853408694696
"X2004",0.00366081752013807
"X2005",0.00356835537403402
"X2006",0.00352043911502013
"X2007",0.00361576551584923
"X2008",0.00325203081637957
"X2009",0.00350064761478303
"X2010",0.00356892437377987
"X2011",0.00373699877078647
"X2012",0.00398783516178811
"X2013",0.00505085036393574
"X2014",0.00500621936138061
"X2015",0.00487207731597734
"X2016",0.00468383955570338
"X2017",0.00480156154215792
