"","x"
"X1992",0.00529921766877657
"X1993",0.00516377908856771
"X1994",0.00515029709736644
"X1995",0.00624411210783335
"X1996",0.00583233990643139
"X1997",0.00482219313240362
"X1998",0.00455766776608096
"X1999",0.00441788269174495
"X2000",0.00506029108376286
"X2001",0.00520787183152894
"X2002",0.00538695519457585
"X2003",0.00662627816589685
"X2004",0.00654619601344946
"X2005",0.00669857892556703
"X2006",0.00668912870607585
"X2007",0.00581678796233826
"X2008",0.00489747035214289
"X2009",0.00545066327360126
"X2010",0.00559412196028537
"X2011",0.00560868631816013
"X2012",0.00597429337163924
"X2013",0.00632251080107268
"X2014",0.00617083858316233
"X2015",0.00675267415850757
"X2016",0.00683400326803513
"X2017",0.00667785182986251
