"","x"
"X1992",0.0613863344794902
"X1993",0.0609511027822171
"X1994",0.061515287321365
"X1995",0.0603615984151868
"X1996",0.0598681901645714
"X1997",0.0602160142086561
"X1998",0.0606149291211787
"X1999",0.0610147685305526
"X2000",0.0731425866414211
"X2001",0.0610178430112164
"X2002",0.0611809262427958
"X2003",0.060704718785482
"X2004",0.0658644383543611
"X2005",0.0616052001124397
"X2006",0.0626998535423386
"X2007",0.0609788080840978
"X2008",0.0652938677904012
"X2009",0.0617278713230386
"X2010",0.070423088877945
"X2011",0.069948469118721
"X2012",0.0729995315482887
"X2013",0.0698306925750784
"X2014",0.0686199194875671
"X2015",0.0691158283332252
"X2016",0.0686508125231858
"X2017",0.063057757651625
