"","x"
"X1996",0.00283099083343308
"X1997",0.00298743673406707
"X1998",0.00290518373069395
"X1999",0.00302274707088126
"X2000",0.00306594321294225
"X2001",0.00336361819404507
"X2002",0.00341191155183274
"X2003",0.00340818405313192
"X2004",0.00349034537678963
"X2005",0.00297216149027515
"X2006",0.00263066000980063
"X2007",0.00378101472403442
"X2008",0.003883985651898
"X2009",0.00408139403729162
"X2010",0.0039770398506394
"X2011",0.00402966815969574
"X2012",0.00398480192202404
"X2013",0.00586330470738661
"X2014",0.00588458666929474
"X2015",0.00585262900701975
"X2016",0.00573606470333748
"X2017",0.00584462905813752
