"","x"
"X1992",0.00355643857659131
"X1993",0.00359300194252877
"X1994",0.00320042202077385
"X1995",0.00329256377768939
"X1996",0.00332922569025175
"X1997",0.00334370863694496
"X1998",0.00334263844288908
"X1999",0.0032771151410082
"X2000",0.00319353088115623
"X2001",0.00409134524227664
"X2002",0.00322149458454764
"X2003",0.00326205789289942
"X2004",0.00343703586154589
"X2005",0.00338034192710043
"X2006",0.00328131148902359
"X2007",0.00331682999205487
"X2008",0.00336788550897072
"X2009",0.00331460247244991
"X2010",0.00389303527799258
"X2011",0.00381982672045988
"X2012",0.00318784148852632
"X2013",0.00314262627434996
"X2014",0.0034160070543993
"X2015",0.00344136539099224
"X2016",0.00322355760213603
"X2017",0.00325742070503579
