"","x"
"X1992",0.0023546070398964
"X1993",0.00240547154033317
"X1994",0.00202524515399083
"X1995",0.00183863330630393
"X1996",0.0018077569680652
"X1997",0.00197923043681215
"X1998",0.00216676439714107
"X1999",0.00203702574705183
"X2000",0.00293460059148079
"X2001",0.00313853383699496
"X2002",0.00318590149260989
"X2003",0.00247223009465118
"X2004",0.00249052810913035
"X2005",0.00172595823140158
"X2006",0.00202923247535561
"X2007",0.00249983994470977
"X2008",0.00254091678507024
"X2009",0.00257452570293588
"X2010",0.00205035178535757
"X2011",0.0022379268038594
"X2012",0.00251688719074303
"X2013",0.00258244951801808
"X2014",0.00276424769588368
"X2015",0.00194812189167004
"X2016",0.00194812189167004
"X2017",0.00200656228985383
